web-scraper-order,web-scraper-start-url,links,links-href,brand,price,color,size and fit,fabric and care,pages,pages-href
1755875307-92,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Pearl Sweatshirt,https://carbon38.com/en-in/products/pearl-sweatshirt-black-1?_pos=206&_fid=3023b071c&_ss=c,CARBON38,"Rs. 12,900.00",Black,Fits true to size. Model is wearing a size small. Model is wearing size S.,"80% Rayon 12% Nylon 8% Spandex



Hand wash cold, do not bleach, lay flat to dry, do not iron.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875333-93,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Sheer Turtleneck Sweater,https://carbon38.com/en-in/products/sheer-turtleneck-sweater-black?_pos=205&_fid=3023b071c&_ss=c,CARBON38,"Rs. 12,900.00",Black,Fits true to size. Model is wearing a size small. Model is wearing size S.,"61% VISCOSE, 22% POLYESTER, 8% LINEN, 8% LYOCELL



Hand wash cold with like colors, do not bleach, lay flat to dry.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875360-94,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Raglan Pullover in Velour,https://carbon38.com/en-in/products/raglan-pullover-in-velour-charcoal-grey?_pos=204&_fid=3023b071c&_ss=c,CARBON38,"Rs. 12,100.00",Charcoal Grey,Fits true to size. Model is wearing a size small. Model is wearing size S.,"80% Cotton 20% Polyester



Machine wash cold with like colors, gentle cycle. Do not bleach, line dry, do not iron, do not dry clean.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875386-95,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Liquid Metallic Bodysuit,https://carbon38.com/en-in/products/liquid-metallic-bodysuit-silver?_pos=203&_fid=3023b071c&_ss=c,CARBON38,"Rs. 11,300.00",Metallic Silver,,"79% Polyester 21% Elastane



Machine wash cold with like colors, gentle cycle. Do not bleach, tumble dry low.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875413-96,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Liquid Metallic Long Sleeve Top,https://carbon38.com/en-in/products/liquid-metallic-long-sleeve-top-silver?_pos=202&_fid=3023b071c&_ss=c,CARBON38,"Rs. 10,500.00",Metallic Silver,,"79% Polyester 21% Elastane



Machine wash cold with like colors, gentle cycle. Do not bleach, tumble dry low.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875440-97,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Liquid Mesh Tee Shirt,https://carbon38.com/en-in/products/mesh-tee-shirt-black?_pos=201&_fid=3023b071c&_ss=c,CARBON38,"Rs. 8,000.00",Black,Fits true to size. Model is wearing size small. Model is wearing size S.,"80% Polyester 20% Spandex



Turn garment inside out, machine wash cold with like colors on delicate cycle or hand wash. Do not bleach, hang to dry, do not iron.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875466-98,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Rosette Longline Sweater,https://carbon38.com/en-in/products/rosette-longline-sweater-black?_pos=200&_fid=3023b071c&_ss=c,CARBON38,"Rs. 16,200.00",Black,Fits true to size. Model is wearing a size small. Model is wearing size S.,"100% Cotton



Remove trim before washing. 

Machine wash cold with like colors. Do not bleach, lay flat to dry",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875492-99,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Rosette Long Sleeve Top in Melt,https://carbon38.com/en-in/products/rosette-long-sleeve-top-in-melt-black-w-white-rosette?_pos=199&_fid=3023b071c&_ss=c,CARBON38,"Rs. 12,100.00",Black w/ White Rosette,,"81% Nylon 19% Spandex



Hand wash cold separately, do not bleach, lay flat to dry, do not iron, do not tumble dry.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875518-100,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Raglan Pullover in Velour,https://carbon38.com/en-in/products/raglan-pullover-in-velour-blush?_pos=198&_fid=3023b071c&_ss=c,CARBON38,"Rs. 12,100.00",Blush,Fits true to size. Model is wearing a size small. Model is wearing size S.,"80% Cotton 20% Polyester



Machine wash cold with like colors, gentle cycle. Do not bleach, line dry, do not iron, do not dry clean.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875545-101,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Long Sleeve Wrap Top in Melt,https://carbon38.com/en-in/products/long-sleeve-wrap-top-crimson-red?_pos=197&_fid=3023b071c&_ss=c,CARBON38,"Rs. 10,500.00",Crimson Red,,,3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875571-102,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Half Zip Fleece Top,https://carbon38.com/en-in/products/half-zip-fleece-top-crimson-red?_pos=196&_fid=3023b071c&_ss=c,CARBON38,"Rs. 12,100.00",Crimson Red,,"50% Cotton 50% Modal



Machine wash cold with like colors, do not bleach, tumble dry low.",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875597-103,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Alison Pullover,https://carbon38.com/en-in/products/alison-pullover-multi?_pos=195&_fid=3023b071c&_ss=c,,"Rs. 40,100.00",Multi,Model is wearing size S.,90% wool 10% cashmere,3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875623-104,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Timberley Half Zip Midlayer,https://carbon38.com/en-in/products/timberley-half-zip-midlayer-cement-marl?_pos=194&_fid=3023b071c&_ss=c,VARLEY,"Rs. 10,500.00",Cement Marl,The Timberley is cut for a relaxed fit. Take your true size. Model is wearing size S.,"90% Polyester 10% Elastane

Machine wash cool, do not bleach, do not tumble dry, do not iron, do not dry clean, remove promptly from washer, dry flat",3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875630-105,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Delilah Top,https://carbon38.com/en-in/products/delilah-top-cream?_pos=193&_fid=3023b071c&_ss=c,,"Rs. 31,000.00",Cream,Model is wearing size S.,30% cashmere / 70% wool.,3,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=3&filter.p.m.custom.available_or_waitlist=1
1755875684-106,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Bouclé Cropped Blazer,https://carbon38.com/en-in/products/crop-blazer-cream?_pos=192&_fid=c2b69184e&_ss=c,GOLDIE BYRD,"Rs. 14,500.00",Cream,Fits true to size. Model is wearing a size Small Model is wearing size S.,"This elevated, stretch boucle material will look chic on and off the course.

93% Polyester 4% Rayon 3% Spandex",2,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=2&filter.p.m.custom.available_or_waitlist=1
1755875710-107,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1,Half Zip Asymmetrical Pullover in Interlock,https://carbon38.com/en-in/products/half-zip-asymmetrical-pullover-moonbeam-heather?_pos=191&_fid=c2b69184e&_ss=c,CARBON38,"Rs. 12,100.00",Moonbeam Heather,Fits true to size. Model is wearing a size small. Model is wearing size S.,"48% Polyester 48% Rayon 4% Spandex



Machine wash cold with like colors, do not bleach, tumble dry low, do not iron, dry cleanable.",2,https://carbon38.com/en-in/collections/tops?filter.p.m.custom.available_or_waitlist=1&page=2&filter.p.m.custom.available_or_waitlist=1
